"1963 , 155 , NA , NA"
"1979 , 78 , NA , NA"
"1980 , 78 , NA , NA"
"1981 , 78 , NA , NA"
"1982 , 78 , NA , NA"
"1983 , 78 , NA , NA"
"1984 , 78 , NA , NA"
"1985 , 78 , NA , NA"
"1986 , 78 , NA , NA"
"1987 , 78 , NA , NA"
"1988 , 78 , NA , NA"
"1989 , 78 , NA , NA"
"1990 , 78 , NA , NA"
"1991 , 78 , NA , NA"
"1992 , 78 , NA , NA"
"1993 , 78 , NA , NA"
"1994 , 78 , NA , NA"
"1995 , 78 , NA , NA"
"1996 , 78 , NA , NA"
"1997 , 78 , NA , NA"
"1998 , 78 , NA , NA"
"1999 , 78 , NA , NA"
"2000 , 78 , NA , NA"
"2001 , 78 , NA , NA"
"2002 , 78 , NA , NA"
"2003 , 78 , NA , NA"
"2004 , 78 , NA , NA"
"2005 , 78 , NA , NA"
"2006 , 78 , NA , NA"
"2007 , 78 , NA , NA"
"2008 , 78 , NA , NA"
"2009 , 78 , NA , NA"
"2010 , 78 , NA , NA"
"2011 , 78 , NA , NA"
"2012 , 78 , NA , NA"
"2013 , 78 , NA , NA"
"2014 , 78 , NA , NA"
"2015 , 78 , NA , NA"
"2016 , 78 , NA , NA"
"1963 , 139 , NA , NA"
"1964 , 139 , NA , NA"
"1965 , 139 , NA , NA"
"1966 , 139 , NA , NA"
"1967 , 139 , NA , NA"
"1968 , 139 , NA , NA"
"1969 , 139 , NA , NA"
"1970 , 139 , NA , NA"
"1971 , 139 , NA , NA"
"1972 , 139 , NA , NA"
"1973 , 139 , NA , NA"
"1974 , 139 , NA , NA"
"1975 , 139 , NA , NA"
"1976 , 139 , NA , NA"
"1977 , 139 , NA , NA"
"1978 , 139 , NA , NA"
"1979 , 139 , NA , NA"
"1980 , 139 , NA , NA"
"1981 , 139 , NA , NA"
"1982 , 139 , NA , NA"
"1983 , 139 , NA , NA"
"1984 , 139 , NA , NA"
"1985 , 139 , NA , NA"
"1986 , 139 , NA , NA"
"1987 , 139 , NA , NA"
"1988 , 139 , NA , NA"
"1989 , 139 , NA , NA"
"1990 , 139 , NA , NA"
"1991 , 139 , NA , NA"
"1992 , 139 , NA , NA"
"1993 , 139 , NA , NA"
"1994 , 139 , NA , NA"
"1995 , 139 , NA , NA"
"1996 , 139 , NA , NA"
"1997 , 139 , NA , NA"
"1998 , 139 , NA , NA"
"1999 , 139 , NA , NA"
"2000 , 139 , NA , NA"
"2001 , 139 , NA , NA"
"2002 , 139 , NA , NA"
"2003 , 139 , NA , NA"
"2004 , 139 , NA , NA"
"2005 , 139 , NA , NA"
"2006 , 139 , NA , NA"
"2007 , 139 , NA , NA"
"2008 , 139 , NA , NA"
"2009 , 139 , NA , NA"
"2010 , 139 , NA , NA"
"2011 , 139 , NA , NA"
"2012 , 139 , NA , NA"
"2013 , 139 , NA , NA"
"2014 , 139 , NA , NA"
"2015 , 139 , NA , NA"
"2016 , 139 , NA , NA"
"1963 , 172 , NA , NA"
"1964 , 172 , NA , NA"
"1965 , 172 , NA , NA"
"1966 , 172 , NA , NA"
"1967 , 172 , NA , NA"
"1968 , 172 , NA , NA"
"1969 , 172 , NA , NA"
"1970 , 172 , NA , NA"
"1971 , 172 , NA , NA"
"1972 , 172 , NA , NA"
"1973 , 172 , NA , NA"
"1974 , 172 , NA , NA"
"1975 , 172 , NA , NA"
"1976 , 172 , NA , NA"
"1977 , 172 , NA , NA"
"1978 , 172 , NA , NA"
"1979 , 172 , NA , NA"
"1980 , 172 , NA , NA"
"1981 , 172 , NA , NA"
"1982 , 172 , NA , NA"
"1983 , 172 , NA , NA"
"1984 , 172 , NA , NA"
"1985 , 172 , NA , NA"
"1986 , 172 , NA , NA"
"1987 , 172 , NA , NA"
"1988 , 172 , NA , NA"
"1989 , 172 , NA , NA"
"1990 , 172 , NA , NA"
"1991 , 172 , NA , NA"
"1992 , 172 , NA , NA"
"1993 , 172 , NA , NA"
"1994 , 172 , NA , NA"
"1995 , 172 , NA , NA"
"1996 , 172 , NA , NA"
"1997 , 172 , NA , NA"
"1998 , 172 , NA , NA"
"1999 , 172 , NA , NA"
"2000 , 172 , NA , NA"
"2001 , 172 , NA , NA"
"2002 , 172 , NA , NA"
"2003 , 172 , NA , NA"
"2004 , 172 , NA , NA"
"2005 , 172 , NA , NA"
"2006 , 172 , NA , NA"
"2007 , 172 , NA , NA"
"2008 , 172 , NA , NA"
"2009 , 172 , NA , NA"
"2010 , 172 , NA , NA"
"2011 , 172 , NA , NA"
"2012 , 172 , NA , NA"
"2013 , 172 , NA , NA"
"2014 , 172 , NA , NA"
"2015 , 172 , NA , NA"
"2016 , 172 , NA , NA"
"1963 , 103 , NA , NA"
"1964 , 103 , NA , NA"
"1965 , 103 , NA , NA"
"1966 , 103 , NA , NA"
"1967 , 103 , NA , NA"
"1968 , 103 , NA , NA"
"1969 , 103 , NA , NA"
"1970 , 103 , NA , NA"
"1971 , 103 , NA , NA"
"1972 , 103 , NA , NA"
"1973 , 103 , NA , NA"
"1974 , 103 , NA , NA"
"1975 , 103 , NA , NA"
"1976 , 103 , NA , NA"
"1977 , 103 , NA , NA"
"1978 , 103 , NA , NA"
"1979 , 103 , NA , NA"
"1980 , 103 , NA , NA"
"1981 , 103 , NA , NA"
"1982 , 103 , NA , NA"
"1983 , 103 , NA , NA"
"1984 , 103 , NA , NA"
"1985 , 103 , NA , NA"
"1986 , 103 , NA , NA"
"1987 , 103 , NA , NA"
"1988 , 103 , NA , NA"
"1989 , 103 , NA , NA"
"1990 , 103 , NA , NA"
"1991 , 103 , NA , NA"
"1992 , 103 , NA , NA"
"1993 , 103 , NA , NA"
"1994 , 103 , NA , NA"
"1995 , 103 , NA , NA"
"1996 , 103 , NA , NA"
"1997 , 103 , NA , NA"
"1998 , 103 , NA , NA"
"1999 , 103 , NA , NA"
"2000 , 103 , NA , NA"
"2001 , 103 , NA , NA"
"2002 , 103 , NA , NA"
"2003 , 103 , NA , NA"
"2004 , 103 , NA , NA"
"2005 , 103 , NA , NA"
"2006 , 103 , NA , NA"
"2007 , 103 , NA , NA"
"2008 , 103 , NA , NA"
"2009 , 103 , NA , NA"
"2010 , 103 , NA , NA"
"2011 , 103 , NA , NA"
"2012 , 103 , NA , NA"
"2013 , 103 , NA , NA"
"2014 , 103 , NA , NA"
"2015 , 103 , NA , NA"
"2016 , 103 , NA , NA"
"1963 , 28 , NA , NA"
"1964 , 28 , NA , NA"
"1965 , 28 , NA , NA"
"1966 , 28 , NA , NA"
"1967 , 28 , NA , NA"
"1968 , 28 , NA , NA"
"1969 , 28 , NA , NA"
"1970 , 28 , NA , NA"
"1971 , 28 , NA , NA"
"1972 , 28 , NA , NA"
"1973 , 28 , NA , NA"
"1974 , 28 , NA , NA"
"1975 , 28 , NA , NA"
"1976 , 28 , NA , NA"
"1977 , 28 , NA , NA"
"1978 , 28 , NA , NA"
"1979 , 28 , NA , NA"
"1980 , 28 , NA , NA"
"1981 , 28 , NA , NA"
"1982 , 28 , NA , NA"
"1983 , 28 , NA , NA"
"1984 , 28 , NA , NA"
"1985 , 28 , NA , NA"
"1986 , 28 , NA , NA"
"1987 , 28 , NA , NA"
"1988 , 28 , NA , NA"
"1989 , 28 , NA , NA"
"1990 , 28 , NA , NA"
"1991 , 28 , NA , NA"
"1992 , 28 , NA , NA"
"1993 , 28 , NA , NA"
"1994 , 28 , NA , NA"
"1995 , 28 , NA , NA"
"1996 , 28 , NA , NA"
"1997 , 28 , NA , NA"
"1998 , 28 , NA , NA"
"1999 , 28 , NA , NA"
"2000 , 28 , NA , NA"
"2001 , 28 , NA , NA"
"2002 , 28 , NA , NA"
"2003 , 28 , NA , NA"
"2004 , 28 , NA , NA"
"2005 , 28 , NA , NA"
"2006 , 28 , NA , NA"
"2007 , 28 , NA , NA"
"2008 , 28 , NA , NA"
"2009 , 28 , NA , NA"
"2010 , 28 , NA , NA"
"2011 , 28 , NA , NA"
"2012 , 28 , NA , NA"
"2013 , 28 , NA , NA"
"2014 , 28 , NA , NA"
"2015 , 28 , NA , NA"
"2016 , 28 , NA , NA"
"1963 , 145 , NA , NA"
"1964 , 145 , NA , NA"
"1965 , 145 , NA , NA"
"1966 , 145 , NA , NA"
"1967 , 145 , NA , NA"
"1968 , 145 , NA , NA"
"1969 , 145 , NA , NA"
"1970 , 145 , NA , NA"
"1971 , 145 , NA , NA"
"1972 , 145 , NA , NA"
"1973 , 145 , NA , NA"
"1974 , 145 , NA , NA"
"1975 , 145 , NA , NA"
"1976 , 145 , NA , NA"
"1977 , 145 , NA , NA"
"1978 , 145 , NA , NA"
"1979 , 145 , NA , NA"
"1980 , 145 , NA , NA"
"1981 , 145 , NA , NA"
"1982 , 145 , NA , NA"
"1983 , 145 , NA , NA"
"1984 , 145 , NA , NA"
"1985 , 145 , NA , NA"
"1986 , 145 , NA , NA"
"1987 , 145 , NA , NA"
"1988 , 145 , NA , NA"
"1989 , 145 , NA , NA"
"1990 , 145 , NA , NA"
"1991 , 145 , NA , NA"
"1992 , 145 , NA , NA"
"1993 , 145 , NA , NA"
"1994 , 145 , NA , NA"
"1995 , 145 , NA , NA"
"1996 , 145 , NA , NA"
"1997 , 145 , NA , NA"
"1998 , 145 , NA , NA"
"1999 , 145 , NA , NA"
"2000 , 145 , NA , NA"
"2001 , 145 , NA , NA"
"2002 , 145 , NA , NA"
"2003 , 145 , NA , NA"
"2004 , 145 , NA , NA"
"2005 , 145 , NA , NA"
"2006 , 145 , NA , NA"
"2007 , 145 , NA , NA"
"2008 , 145 , NA , NA"
"2009 , 145 , NA , NA"
"2010 , 145 , NA , NA"
"2011 , 145 , NA , NA"
"2012 , 145 , NA , NA"
"2013 , 145 , NA , NA"
"2014 , 145 , NA , NA"
"2015 , 145 , NA , NA"
"2016 , 145 , NA , NA"
"1963 , 76 , NA , NA"
"1964 , 76 , NA , NA"
"1965 , 76 , NA , NA"
"1966 , 76 , NA , NA"
"1967 , 76 , NA , NA"
"1968 , 76 , NA , NA"
"1969 , 76 , NA , NA"
"1970 , 76 , NA , NA"
"1971 , 76 , NA , NA"
"1972 , 76 , NA , NA"
"1973 , 76 , NA , NA"
"1974 , 76 , NA , NA"
"1975 , 76 , NA , NA"
"1976 , 76 , NA , NA"
"1977 , 76 , NA , NA"
"1978 , 76 , NA , NA"
"1979 , 76 , NA , NA"
"1980 , 76 , NA , NA"
"1981 , 76 , NA , NA"
"1982 , 76 , NA , NA"
"1983 , 76 , NA , NA"
"1984 , 76 , NA , NA"
"1985 , 76 , NA , NA"
"1986 , 76 , NA , NA"
"1987 , 76 , NA , NA"
"1988 , 76 , NA , NA"
"1989 , 76 , NA , NA"
"1990 , 76 , NA , NA"
"1991 , 76 , NA , NA"
"1992 , 76 , NA , NA"
"1993 , 76 , NA , NA"
"1994 , 76 , NA , NA"
"1995 , 76 , NA , NA"
"1996 , 76 , NA , NA"
"1997 , 76 , NA , NA"
"1998 , 76 , NA , NA"
"1999 , 76 , NA , NA"
"2000 , 76 , NA , NA"
"2001 , 76 , NA , NA"
"2002 , 76 , NA , NA"
"2003 , 76 , NA , NA"
"2004 , 76 , NA , NA"
"2005 , 76 , NA , NA"
"2006 , 76 , NA , NA"
"2007 , 76 , NA , NA"
"2008 , 76 , NA , NA"
"2009 , 76 , NA , NA"
"2010 , 76 , NA , NA"
"2011 , 76 , NA , NA"
"2012 , 76 , NA , NA"
"2013 , 76 , NA , NA"
"2014 , 76 , NA , NA"
"2015 , 76 , NA , NA"
"2016 , 76 , NA , NA"
"1963 , 108 , NA , NA"
"1964 , 108 , NA , NA"
"1965 , 108 , NA , NA"
"1966 , 108 , NA , NA"
"1967 , 108 , NA , NA"
"1968 , 108 , NA , NA"
"1969 , 108 , NA , NA"
"1970 , 108 , NA , NA"
"1971 , 108 , NA , NA"
"1972 , 108 , NA , NA"
"1973 , 108 , NA , NA"
"1974 , 108 , NA , NA"
"1975 , 108 , NA , NA"
"1976 , 108 , NA , NA"
"1977 , 108 , NA , NA"
"1978 , 108 , NA , NA"
"1979 , 108 , NA , NA"
"1980 , 108 , NA , NA"
"1981 , 108 , NA , NA"
"1982 , 108 , NA , NA"
"1983 , 108 , NA , NA"
"1984 , 108 , NA , NA"
"1985 , 108 , NA , NA"
"1986 , 108 , NA , NA"
"1987 , 108 , NA , NA"
"1988 , 108 , NA , NA"
"1989 , 108 , NA , NA"
"1990 , 108 , NA , NA"
"1991 , 108 , NA , NA"
"1992 , 108 , NA , NA"
"1993 , 108 , NA , NA"
"1994 , 108 , NA , NA"
"1995 , 108 , NA , NA"
"1996 , 108 , NA , NA"
"1997 , 108 , NA , NA"
"1998 , 108 , NA , NA"
"1999 , 108 , NA , NA"
"2000 , 108 , NA , NA"
"2001 , 108 , NA , NA"
"2002 , 108 , NA , NA"
"2003 , 108 , NA , NA"
"2004 , 108 , NA , NA"
"2005 , 108 , NA , NA"
"2006 , 108 , NA , NA"
"2007 , 108 , NA , NA"
"2008 , 108 , NA , NA"
"2009 , 108 , NA , NA"
"2010 , 108 , NA , NA"
"2011 , 108 , NA , NA"
"2012 , 108 , NA , NA"
"2013 , 108 , NA , NA"
"2014 , 108 , NA , NA"
"2015 , 108 , NA , NA"
"2016 , 108 , NA , NA"
"1963 , 106 , NA , NA"
"1964 , 106 , NA , NA"
"1965 , 106 , NA , NA"
"1966 , 106 , NA , NA"
"1967 , 106 , NA , NA"
"1968 , 106 , NA , NA"
"1969 , 106 , NA , NA"
"1970 , 106 , NA , NA"
"1971 , 106 , NA , NA"
"1972 , 106 , NA , NA"
"1973 , 106 , NA , NA"
"1974 , 106 , NA , NA"
"1975 , 106 , NA , NA"
"1976 , 106 , NA , NA"
"1977 , 106 , NA , NA"
"1978 , 106 , NA , NA"
"1979 , 106 , NA , NA"
"1980 , 106 , NA , NA"
"1981 , 106 , NA , NA"
"1982 , 106 , NA , NA"
"1983 , 106 , NA , NA"
"1984 , 106 , NA , NA"
"1985 , 106 , NA , NA"
"1986 , 106 , NA , NA"
"1987 , 106 , NA , NA"
"1988 , 106 , NA , NA"
"1989 , 106 , NA , NA"
"1990 , 106 , NA , NA"
"1991 , 106 , NA , NA"
"1992 , 106 , NA , NA"
"1993 , 106 , NA , NA"
"1994 , 106 , NA , NA"
"1995 , 106 , NA , NA"
"1996 , 106 , NA , NA"
"1997 , 106 , NA , NA"
"1998 , 106 , NA , NA"
"1999 , 106 , NA , NA"
"2000 , 106 , NA , NA"
"2001 , 106 , NA , NA"
"2002 , 106 , NA , NA"
"2003 , 106 , NA , NA"
"2004 , 106 , NA , NA"
"2005 , 106 , NA , NA"
"2006 , 106 , NA , NA"
"2007 , 106 , NA , NA"
"2008 , 106 , NA , NA"
"2009 , 106 , NA , NA"
"2010 , 106 , NA , NA"
"2011 , 106 , NA , NA"
"2012 , 106 , NA , NA"
"2013 , 106 , NA , NA"
"2014 , 106 , NA , NA"
"2015 , 106 , NA , NA"
"2016 , 106 , NA , NA"
"1963 , 23 , NA , NA"
"1964 , 23 , NA , NA"
"1965 , 23 , NA , NA"
"1966 , 23 , NA , NA"
"1967 , 23 , NA , NA"
"1968 , 23 , NA , NA"
"1969 , 23 , NA , NA"
"1970 , 23 , NA , NA"
"1971 , 23 , NA , NA"
"1972 , 23 , NA , NA"
"1973 , 23 , NA , NA"
"1974 , 23 , NA , NA"
"1975 , 23 , NA , NA"
"1976 , 23 , NA , NA"
"1977 , 23 , NA , NA"
"1978 , 23 , NA , NA"
"1979 , 23 , NA , NA"
"1980 , 23 , NA , NA"
"1981 , 23 , NA , NA"
"1982 , 23 , NA , NA"
"1983 , 23 , NA , NA"
"1984 , 23 , NA , NA"
"1985 , 23 , NA , NA"
"1986 , 23 , NA , NA"
"1987 , 23 , NA , NA"
"1988 , 23 , NA , NA"
"1989 , 23 , NA , NA"
"1990 , 23 , NA , NA"
"1991 , 23 , NA , NA"
"1992 , 23 , NA , NA"
"1993 , 23 , NA , NA"
"1994 , 23 , NA , NA"
"1995 , 23 , NA , NA"
"1996 , 23 , NA , NA"
"1997 , 23 , NA , NA"
"1998 , 23 , NA , NA"
"1999 , 23 , NA , NA"
"2000 , 23 , NA , NA"
"2001 , 23 , NA , NA"
"2002 , 23 , NA , NA"
"2003 , 23 , NA , NA"
"2004 , 23 , NA , NA"
"2005 , 23 , NA , NA"
"2006 , 23 , NA , NA"
"2007 , 23 , NA , NA"
"2008 , 23 , NA , NA"
"2009 , 23 , NA , NA"
"2010 , 23 , NA , NA"
"2011 , 23 , NA , NA"
"2012 , 23 , NA , NA"
"2013 , 23 , NA , NA"
"2014 , 23 , NA , NA"
"2015 , 23 , NA , NA"
"2016 , 23 , NA , NA"
"1963 , 107 , NA , NA"
"1964 , 107 , NA , NA"
"1965 , 107 , NA , NA"
"1966 , 107 , NA , NA"
"1967 , 107 , NA , NA"
"1968 , 107 , NA , NA"
"1969 , 107 , NA , NA"
"1970 , 107 , NA , NA"
"1971 , 107 , NA , NA"
"1972 , 107 , NA , NA"
"1973 , 107 , NA , NA"
"1974 , 107 , NA , NA"
"1975 , 107 , NA , NA"
"1976 , 107 , NA , NA"
"1977 , 107 , NA , NA"
"1978 , 107 , NA , NA"
"1979 , 107 , NA , NA"
"1980 , 107 , NA , NA"
"1981 , 107 , NA , NA"
"1982 , 107 , NA , NA"
"1983 , 107 , NA , NA"
"1984 , 107 , NA , NA"
"1985 , 107 , NA , NA"
"1986 , 107 , NA , NA"
"1987 , 107 , NA , NA"
"1988 , 107 , NA , NA"
"1989 , 107 , NA , NA"
"1990 , 107 , NA , NA"
"1991 , 107 , NA , NA"
"1992 , 107 , NA , NA"
"1993 , 107 , NA , NA"
"1994 , 107 , NA , NA"
"1995 , 107 , NA , NA"
"1996 , 107 , NA , NA"
"1997 , 107 , NA , NA"
"1998 , 107 , NA , NA"
"1999 , 107 , NA , NA"
"2000 , 107 , NA , NA"
"2001 , 107 , NA , NA"
"2002 , 107 , NA , NA"
"2003 , 107 , NA , NA"
"2004 , 107 , NA , NA"
"2005 , 107 , NA , NA"
"2006 , 107 , NA , NA"
"2007 , 107 , NA , NA"
"2008 , 107 , NA , NA"
"2009 , 107 , NA , NA"
"2010 , 107 , NA , NA"
"2011 , 107 , NA , NA"
"2012 , 107 , NA , NA"
"2013 , 107 , NA , NA"
"2014 , 107 , NA , NA"
"2015 , 107 , NA , NA"
"2016 , 107 , NA , NA"
"1963 , 192 , NA , NA"
"1964 , 192 , NA , NA"
"1965 , 192 , NA , NA"
"1966 , 192 , NA , NA"
"1967 , 192 , NA , NA"
"1968 , 192 , NA , NA"
"1969 , 192 , NA , NA"
"1970 , 192 , NA , NA"
"1971 , 192 , NA , NA"
"1972 , 192 , NA , NA"
"1973 , 192 , NA , NA"
"1974 , 192 , NA , NA"
"1975 , 192 , NA , NA"
"1976 , 192 , NA , NA"
"1977 , 192 , NA , NA"
"1978 , 192 , NA , NA"
"1979 , 192 , NA , NA"
"1980 , 192 , NA , NA"
"1981 , 192 , NA , NA"
"1982 , 192 , NA , NA"
"1983 , 192 , NA , NA"
"1984 , 192 , NA , NA"
"1985 , 192 , NA , NA"
"1986 , 192 , NA , NA"
"1987 , 192 , NA , NA"
"1988 , 192 , NA , NA"
"1989 , 192 , NA , NA"
"1990 , 192 , NA , NA"
"1991 , 192 , NA , NA"
"1992 , 192 , NA , NA"
"1993 , 192 , NA , NA"
"1994 , 192 , NA , NA"
"1995 , 192 , NA , NA"
"1996 , 192 , NA , NA"
"1997 , 192 , NA , NA"
"1998 , 192 , NA , NA"
"1999 , 192 , NA , NA"
"2000 , 192 , NA , NA"
"2001 , 192 , NA , NA"
"2002 , 192 , NA , NA"
"2003 , 192 , NA , NA"
"2004 , 192 , NA , NA"
"2005 , 192 , NA , NA"
"2006 , 192 , NA , NA"
"2007 , 192 , NA , NA"
"2008 , 192 , NA , NA"
"2009 , 192 , NA , NA"
"2010 , 192 , NA , NA"
"2011 , 192 , NA , NA"
"2012 , 192 , NA , NA"
"2013 , 192 , NA , NA"
"2014 , 192 , NA , NA"
"2015 , 192 , NA , NA"
"2016 , 192 , NA , NA"
"1963 , 105 , NA , NA"
"1964 , 105 , NA , NA"
"1965 , 105 , NA , NA"
"1966 , 105 , NA , NA"
"1967 , 105 , NA , NA"
"1968 , 105 , NA , NA"
"1969 , 105 , NA , NA"
"1970 , 105 , NA , NA"
"1971 , 105 , NA , NA"
"1972 , 105 , NA , NA"
"1973 , 105 , NA , NA"
"1974 , 105 , NA , NA"
"1975 , 105 , NA , NA"
"1976 , 105 , NA , NA"
"1977 , 105 , NA , NA"
"1978 , 105 , NA , NA"
"1979 , 105 , NA , NA"
"1980 , 105 , NA , NA"
"1981 , 105 , NA , NA"
"1982 , 105 , NA , NA"
"1983 , 105 , NA , NA"
"1984 , 105 , NA , NA"
"1985 , 105 , NA , NA"
"1986 , 105 , NA , NA"
"1987 , 105 , NA , NA"
"1988 , 105 , NA , NA"
"1989 , 105 , NA , NA"
"1990 , 105 , NA , NA"
"1991 , 105 , NA , NA"
"1992 , 105 , NA , NA"
"1993 , 105 , NA , NA"
"1994 , 105 , NA , NA"
"1995 , 105 , NA , NA"
"1996 , 105 , NA , NA"
"1997 , 105 , NA , NA"
"1998 , 105 , NA , NA"
"1999 , 105 , NA , NA"
"2000 , 105 , NA , NA"
"2001 , 105 , NA , NA"
"2002 , 105 , NA , NA"
"2003 , 105 , NA , NA"
"2004 , 105 , NA , NA"
"2005 , 105 , NA , NA"
"2006 , 105 , NA , NA"
"2007 , 105 , NA , NA"
"2008 , 105 , NA , NA"
"2009 , 105 , NA , NA"
"2010 , 105 , NA , NA"
"2011 , 105 , NA , NA"
"2012 , 105 , NA , NA"
"2013 , 105 , NA , NA"
"2014 , 105 , NA , NA"
"2015 , 105 , NA , NA"
"2016 , 105 , NA , NA"
